,VIX,VVIX,SKEW,VIX3M,PUT,BXM,CLL,price,dix,gex,volatility_5d,volatility_10d,volatility_20d,volatility_50d,vix_level,vix_change_1d,vix_change_5d,vix_change_10d,vix_change_20d,vvix_ratio,vvix_signal,term_spread,term_spread_pct,term_regime,gex_positive,gex_ma_20,gex_ratio,gex_signal,dix_ma_20,dix_ratio,dix_signal,put_ma_20,put_ratio,put_signal,skew_ma_20,skew_ratio,skew_signal,vix_momentum_5d,vix_momentum_10d,vix_momentum_20d,vix_momentum_50d,vol_regime,bull_signal_count,bear_signal_count,composite_signal
1990-01-02,17.24,,126.09,,,,,,,,,,,,MEDIUM_LOW,,,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-03,18.19,,123.34,,,,,,,,,,,,MEDIUM_LOW,0.05510440835266839,,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-04,19.22,,122.62,,,,,,,,,,,,MEDIUM_LOW,0.05662451896646492,,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-05,20.11,,121.27,,,,,,,,,,,,MEDIUM,0.04630593132154015,,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-08,20.26,,124.12,,,,,,,,1.2866351464187524,,,,MEDIUM,0.007458975634013099,,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-09,22.2,,119.82,,,,,,,,1.4835868697181192,,,,MEDIUM,0.09575518262586358,0.28770301624129946,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.28770301624129946,,,,LOW_VOL_UP,1,0,BULLISH
1990-01-10,22.44,,120.82,,,,,,,,1.4056244164071752,,,,MEDIUM,0.010810810810810922,0.23364485981308403,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.23364485981308403,,,,LOW_VOL_UP,1,0,BULLISH
1990-01-11,20.05,,107.48,,,,,,,,1.1994873905131351,,,,MEDIUM,-0.10650623885918009,0.043184183142559895,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.043184183142559895,,,,NEUTRAL_VOL,1,0,BULLISH
1990-01-12,24.64,,116.78,,,,,,,,1.8708073123654427,,,,MEDIUM,0.22892768079800496,0.2252610641471906,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.2252610641471906,,,,LOW_VOL_UP,1,0,BULLISH
1990-01-15,26.34,,116.16,,,,,,,,2.4192726179577226,2.8416640273692533,,,MEDIUM_HIGH,0.06899350649350655,0.30009871668311927,,,,NORMAL,,,FLAT,0,,,NEUTRAL_GEX,,,NEUTRAL_DIX,,,NEUTRAL_PUT,,,LOW_SKEW,0.30009871668311927,,,,HIGH_VOL_UP,1,0,BULLISH
