,VIX,VVIX,SKEW,VIX3M,PUT,BXM,CLL,price,dix,gex,returns,log_returns,vix_returns,vix_volatility,vix_term_ratio,vix_term_structure
1990-01-02,17.24,,126.09,,,,,,,,,,,,,BULL_QUIET
1990-01-03,18.19,,123.34,,,,,,,,,,0.05510440835266839,,,BULL_QUIET
1990-01-04,19.22,,122.62,,,,,,,,,,0.05662451896646492,,,BULL_QUIET
1990-01-05,20.11,,121.27,,,,,,,,,,0.04630593132154015,,,BULL_QUIET
1990-01-08,20.26,,124.12,,,,,,,,,,0.007458975634013099,,,BULL_QUIET
1990-01-09,22.2,,119.82,,,,,,,,,,0.09575518262586358,,,BULL_QUIET
1990-01-10,22.44,,120.82,,,,,,,,,,0.010810810810810922,,,BULL_QUIET
1990-01-11,20.05,,107.48,,,,,,,,,,-0.10650623885918009,,,BULL_QUIET
1990-01-12,24.64,,116.78,,,,,,,,,,0.22892768079800496,,,BULL_QUIET
1990-01-15,26.34,,116.16,,,,,,,,,,0.06899350649350655,,,BULL_FRAGILE
1990-01-16,24.18,,120.62,,,,,,,,,,-0.08200455580865607,,,BULL_QUIET
1990-01-17,24.16,,123.03,,,,,,,,,,-0.0008271298593879317,,,BULL_QUIET
1990-01-18,24.34,,131.14,,,,,,,,,,0.007450331125827825,,,BULL_QUIET
1990-01-19,22.5,,129.31,,,,,,,,,,-0.07559572719802798,,,BULL_QUIET
1990-01-22,26.7,,118.95,,,,,,,,,,0.18666666666666654,,,BULL_FRAGILE
1990-01-23,24.72,,117.94,,,,,,,,,,-0.07415730337078652,,,BULL_QUIET
1990-01-24,25.39,,128.75,,,,,,,,,,0.027103559870550242,,,BULL_FRAGILE
1990-01-25,25.63,,124.33,,,,,,,,,,0.00945254037022436,,,BULL_FRAGILE
1990-01-26,26.28,,122.76,,,,,,,,,,0.025360905189231397,,,BULL_FRAGILE
1990-01-29,26.44,,124.6,,,,,,,,,,0.0060882800608828,,,BULL_FRAGILE
1990-01-30,27.25,,120.91,,,,,,,,,,0.030635400907715438,1.3019948089576716,,BULL_FRAGILE
1990-01-31,25.36,,128.22,,,,,,,,,,-0.06935779816513765,1.3397344275230392,,BULL_FRAGILE
1990-02-01,24.87,,129.53,,,,,,,,,,-0.019321766561514186,1.3392901899892207,,BULL_QUIET
1990-02-02,24.32,,132.53,,,,,,,,,,-0.022114997989545637,1.3408856020773245,,BULL_QUIET
1990-02-05,24.54,,121.22,,,,,,,,,,0.009046052631578982,1.3408145169558534,,BULL_QUIET
1990-02-06,24.69,,120.3,,,,,,,,,,0.006112469437652868,1.3045400243989005,,BULL_QUIET
1990-02-07,24.29,,123.35,,,,,,,,,,-0.016200891049007793,1.3073814724353814,,BULL_QUIET
1990-02-08,23.77,,124.87,,,,,,,,,,-0.02140798682585421,1.2426976590324215,,BULL_QUIET
1990-02-09,23.69,,126.06,,,,,,,,,,-0.0033655868742110684,0.9395979580865852,,BULL_QUIET
1990-02-12,24.38,,126.99,,,,,,,,,,0.029126213592232997,0.9107767521200468,,BULL_QUIET
1990-02-13,23.76,,133.06,,,,,,,,,,-0.025430680885972,0.8662147212789519,,BULL_QUIET
1990-02-14,22.05,,131.55,,,,,,,,,,-0.07196969696969702,0.9036231460463023,,BULL_QUIET
1990-02-15,19.71,,139.07,,,,,,,,,,-0.10612244897959178,0.9732896830328772,,BULL_QUIET
1990-02-16,20.78,,136.61,,,,,,,,,,0.054287163876205025,0.9641694734357271,,BULL_QUIET
1990-02-20,22.78,,126.47,,,,,,,,,,0.09624639076034658,0.7612161592492398,,BULL_QUIET
1990-02-21,23.89,,129.17,,,,,,,,,,0.048726953467954415,0.7417229265893401,,BULL_QUIET
1990-02-22,22.54,,124.8,,,,,,,,,,-0.056508999581414865,0.7593898667997522,,BULL_QUIET
1990-02-23,23.69,,125.82,,,,,,,,,,0.051020408163265474,0.7837087600893496,,BULL_QUIET
1990-02-26,23.56,,130.69,,,,,,,,,,-0.005487547488391864,0.7766471034273734,,BULL_QUIET
1990-02-27,22.69,,131.45,,,,,,,,,,-0.036926994906621324,0.7839906388478088,,BULL_QUIET
1990-02-28,21.99,,123.1,,,,,,,,,,-0.03085059497576037,0.7757503628490028,,BULL_QUIET
1990-03-01,21.9,,123.96,,,,,,,,,,-0.004092769440654842,0.7428820080101095,,BULL_QUIET
1990-03-02,21.34,,126.44,,,,,,,,,,-0.025570776255707695,0.7446680985421269,,BULL_QUIET
1990-03-05,22.03,,124.24,,,,,,,,,,0.03233364573570774,0.7546120430295057,,BULL_QUIET
1990-03-06,20.55,,124.86,,,,,,,,,,-0.0671811166591012,0.785221561178076,,BULL_QUIET
1990-03-07,19.1,,121.08,,,,,,,,,,-0.07055961070559602,0.8140185115253382,,BULL_QUIET
1990-03-08,19.74,,124.46,,,,,,,,,,0.03350785340314122,0.8291908021914203,,BULL_QUIET
1990-03-09,20.3,,125.6,,,,,,,,,,0.028368794326241176,0.8380979966288441,,BULL_QUIET
1990-03-12,20.07,,129.69,,,,,,,,,,-0.011330049261083719,0.8381769237972291,,BULL_QUIET
1990-03-13,21.05,,128.07,,,,,,,,,,0.04882909815645253,0.852215732684362,,BULL_QUIET
1990-03-14,19.65,,131.82,,,,,,,,,,-0.06650831353919251,0.8767982565156163,,BULL_QUIET
1990-03-15,18.81,,133.02,,,,,,,,,,-0.042748091603053484,0.8543656060955245,,BULL_QUIET
1990-03-16,17.62,,136.73,,,,,,,,,,-0.06326422115895791,0.7999118617872613,,BULL_QUIET
1990-03-19,18.29,,138.69,,,,,,,,,,0.038024971623155324,0.7860542050486863,,BULL_QUIET
1990-03-20,19.06,,134.2,,,,,,,,,,0.04209950792782946,0.713523538993703,,BULL_QUIET
1990-03-21,20.1,,132.58,,,,,,,,,,0.054564533053515385,0.719940818309686,,BULL_QUIET
1990-03-22,22.74,,129.8,,,,,,,,,,0.13134328358208935,0.8481182119549616,,BULL_QUIET
1990-03-23,20.46,,130.76,,,,,,,,,,-0.10026385224274392,0.9000398438450007,,BULL_QUIET
1990-03-26,19.59,,129.9,,,,,,,,,,-0.042521994134897434,0.9094286328083658,,BULL_QUIET
1990-03-27,21.01,,135.33,,,,,,,,,,0.07248596222562531,0.9449282796565954,,BULL_QUIET
1990-03-28,19.77,,133.51,,,,,,,,,,-0.0590195145168968,0.961415896119193,,BULL_QUIET
1990-03-29,18.46,,131.2,,,,,,,,,,-0.06626201315123914,0.9868502205268583,,BULL_QUIET
1990-03-30,19.73,,111.33,,,,,,,,,,0.06879739978331534,1.0192161955171242,,BULL_QUIET
1990-04-02,22.84,,126.46,,,,,,,,,,0.15762797769893555,1.1621533403346955,,BULL_QUIET
1990-04-03,20.44,,117.63,,,,,,,,,,-0.1050788091068301,1.2002314166370986,,BULL_QUIET
1990-04-04,22.03,,114.13,,,,,,,,,,0.07778864970645794,1.1961280095545046,,BULL_QUIET
1990-04-05,21.21,,114.42,,,,,,,,,,-0.03722197004085337,1.203875827602807,,BULL_QUIET
1990-04-06,21.76,,114.91,,,,,,,,,,0.025931164545025975,1.2033137358956976,,BULL_QUIET
1990-04-09,22.3,,117.6,,,,,,,,,,0.02481617647058809,1.2031845331195423,,BULL_QUIET
1990-04-10,21.69,,119.09,,,,,,,,,,-0.02735426008968611,1.1992554166106815,,BULL_QUIET
1990-04-11,17.73,,108.87,,,,,,,,,,-0.18257261410788383,1.351119335211192,,BULL_QUIET
1990-04-12,19.8,,121.52,,,,,,,,,,0.11675126903553301,1.4043320212970014,,BULL_QUIET
1990-04-16,20.75,,126.05,,,,,,,,,,0.04797979797979801,1.3866148012842183,,BULL_QUIET
1990-04-17,20.38,,131.24,,,,,,,,,,-0.017831325301204903,1.3868298576711988,,BULL_QUIET
1990-04-18,22.67,,122.74,,,,,,,,,,0.11236506378802757,1.4307369366361242,,BULL_QUIET
1990-04-19,22.46,,120.77,,,,,,,,,,-0.009263343625937392,1.4238388735710237,,BULL_QUIET
1990-04-20,23.33,,120.88,,,,,,,,,,0.0387355298308103,1.3549462712615132,,BULL_QUIET
1990-04-23,24.16,,120.03,,,,,,,,,,0.03557651093013292,1.2999311199854864,,BULL_QUIET
1990-04-24,21.7,,124.56,,,,,,,,,,-0.10182119205298013,1.3487918834353605,,BULL_QUIET
1990-04-25,20.86,,127.03,,,,,,,,,,-0.03870967741935483,1.3366587597808604,,BULL_QUIET
1990-04-26,20.25,,124.51,,,,,,,,,,-0.029242569511025884,1.3224191286473335,,BULL_QUIET
1990-04-27,22.19,,118.84,,,,,,,,,,0.09580246913580259,1.3324070474653569,,BULL_QUIET
1990-04-30,19.52,,110.49,,,,,,,,,,-0.1203244704821993,1.3943879925425977,,BULL_QUIET
1990-05-01,18.43,,111.99,,,,,,,,,,-0.05584016393442626,1.2821926094582972,,BULL_QUIET
1990-05-02,19.32,,128.49,,,,,,,,,,0.048290830168204124,1.2423028378187915,,BULL_QUIET
1990-05-03,17.81,,114.27,,,,,,,,,,-0.07815734989648038,1.2364259064178746,,BULL_QUIET
1990-05-04,17.28,,116.35,,,,,,,,,,-0.02975856260527776,1.234336787556879,,BULL_QUIET
1990-05-07,17.65,,117.22,,,,,,,,,,0.02141203703703698,1.232829772275166,,BULL_QUIET
1990-05-08,18.49,,117.83,,,,,,,,,,0.04759206798866855,1.2433437745263243,,BULL_QUIET
1990-05-09,18.64,,117.27,,,,,,,,,,0.00811249323958907,1.241757894862828,,BULL_QUIET
1990-05-10,18.59,,119.5,,,,,,,,,,-0.002682403433476477,1.0488989671782842,,BULL_QUIET
1990-05-11,19.81,,119.51,,,,,,,,,,0.06562668101129643,0.9903656160007732,,BULL_QUIET
1990-05-14,20.14,,123.12,,,,,,,,,,0.01665825340737004,0.9771869080587927,,BULL_QUIET
